SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (2-4 Unit),115-117 Lewis Rd,Belmont,MA,02478,1099999,5,4,Belmont,3002,6056,1924,23,366,,Active,May-19-2018 12:00 PM,May-19-2018 01:30 PM,http://www.redfin.com/MA/Belmont/117-Lewis-Rd-02478/home/8422254,MLS PIN,72313108,N,Y,42.3804267,-71.1639418
MLS Listing,,Townhouse,12 S Cottage Rd #12,Belmont,MA,02478,1349000,2,2.5,Belmont,2111,,2010,26,639,856,Active,,,http://www.redfin.com/MA/Belmont/12-S-Cottage-Rd-02478/unit-12/home/145367539,MLS PIN,72311909,N,Y,42.3936887,-71.1942397
MLS Listing,,Single Family Residential,11 Woodfall Rd,Belmont,MA,02478,1595000,5,4,Belmont,3622,18000,1961,33,440,,Active,,,http://www.redfin.com/MA/Belmont/11-Woodfall-Rd-02478/home/8457150,MLS PIN,72308021,N,Y,42.4079688,-71.1900135
MLS Listing,,Single Family Residential,81 Stony Brook Rd,Belmont,MA,02478,2600000,5,4.5,Belmont Hill,5128,21600,2002,33,507,,Active,,,http://www.redfin.com/MA/Belmont/81-Stoney-Brook-Rd-02478/home/8457645,MLS PIN,72307977,N,Y,42.4122656,-71.1939121
MLS Listing,,Single Family Residential,18 Woodfall Rd,Belmont,MA,02478,2250000,5,6,Belmont Hill,4480,23200,1955,33,502,,Active,,,http://www.redfin.com/MA/Belmont/18-Woodfall-Rd-02478/home/8457051,MLS PIN,72307829,N,Y,42.4072863,-71.1900367
MLS Listing,,Single Family Residential,21 Lorimer Rd,Belmont,MA,02478,799900,3,1.5,Kendall Gardens,1712,6754,1930,41,467,,Active,,,http://www.redfin.com/MA/Belmont/21-Lorimer-Rd-02478/home/8455214,MLS PIN,72303489,N,Y,42.3970883,-71.1959775
MLS Listing,,Single Family Residential,863 Concord Ave,Belmont,MA,02478,2285000,4,3,Belmont,3518,80150,1967,49,650,,Active,,,http://www.redfin.com/MA/Belmont/863-Concord-Ave-02478/home/8455719,MLS PIN,72298888,N,Y,42.4017424,-71.1922413
MLS Listing,,Vacant Land,39 Oakmont Ln,Belmont,MA,02478,1445000,,,Belmont,,39460,,53,,,Active,,,http://www.redfin.com/MA/Belmont/39-Oakmont-Ln-02478/home/112987371,MLS PIN,72297645,N,Y,42.4103611,-71.1948997
MLS Listing,,Condo/Co-op,100 Common St #5,Belmont,MA,02478,619000,2,1.5,Belmont,1738,,1880,55,356,727,Active,,,http://www.redfin.com/MA/Belmont/100-Common-St-02478/unit-5/home/8438989,MLS PIN,72296331,N,Y,42.3931134,-71.1746961
MLS Listing,,Single Family Residential,15 Indian Hill Rd,Belmont,MA,02478,2125000,5,4.5,Benton Estates,4260,5460,1930,61,499,,Active,,,http://www.redfin.com/MA/Belmont/15-Indian-Hill-Rd-02478/home/8423521,MLS PIN,72293798,N,Y,42.3801397,-71.1690345
MLS Listing,,Single Family Residential,56 Partridge Ln,Belmont,MA,02478,2300000,4,3.5,Belmont,5238,16150,2013,62,439,,Active,,,http://www.redfin.com/MA/Belmont/56-Partridge-Ln-02478/home/8456489,MLS PIN,72293149,N,Y,42.4047152,-71.1950028
MLS Listing,,Condo/Co-op,70 Grant Ave #70,Belmont,MA,02478,729000,3,2,Belmont,1728,3308,1984,69,422,,Active,,,http://www.redfin.com/MA/Belmont/70-Grant-Ave-02478/unit-70/home/108443374,MLS PIN,72290243,N,Y,42.3888345,-71.1855654
MLS Listing,,Single Family Residential,16 Rockmont Rd,Belmont,MA,02478,4200000,6,6.5,Belmont Hill,7947,30989,2011,70,529,,Active,,,http://www.redfin.com/MA/Belmont/16-Rockmont-Rd-02478/home/8452943,MLS PIN,72289635,N,Y,42.406603,-71.1748595
MLS Listing,,Townhouse,31 Summit Rd #18,Belmont,MA,02478,1599000,3,3.5,Belmont,3834,,2006,327,417,729,Active,,,http://www.redfin.com/MA/Belmont/31-Summit-Rd-02478/unit-18/home/60366826,MLS PIN,72187902,N,Y,42.397328,-71.191792
MLS Listing,,Single Family Residential,8 AINSWORTH Rd,Winchester,MA,01890,1299000,5,3,Winchester Highlands,3400,15274,1980,54,382,,Active,,,http://www.redfin.com/MA/Winchester/8-Ainsworth-Rd-01890/home/11441318,MLS PIN,72297184,N,Y,42.4632451,-71.1213867
MLS Listing,,Single Family Residential,78 Yale St,Winchester,MA,01890,1499000,4,3,Winchester,3085,10425,1966,1,486,,Active,May-19-2018 01:00 PM,May-19-2018 02:30 PM,http://www.redfin.com/MA/Winchester/78-Yale-St-01890/home/11458792,MLS PIN,72326646,N,Y,42.4544769,-71.154576
MLS Listing,,Single Family Residential,103 Wendell St,Winchester,MA,01890,789900,3,1.5,Winchester,1788,6926,1973,1,442,,Active,May-17-2018 06:00 PM,May-17-2018 07:00 PM,http://www.redfin.com/MA/Winchester/103-Wendell-St-01890/home/11453298,MLS PIN,72326645,N,Y,42.4657205,-71.1424611
MLS Listing,,Single Family Residential,16 Hinds Rd,Winchester,MA,01890,1299000,4,3.5,Winchester,3639,10006,1958,1,357,,Active,,,http://www.redfin.com/MA/Winchester/16-Hinds-Rd-01890/home/11439833,MLS PIN,72326561,N,Y,42.4699306,-71.1201798
MLS Listing,,Single Family Residential,45 Brooks St,Winchester,MA,01890,1599000,4,3,Winchester,4173,19698,1953,1,383,,Active,May-19-2018 01:00 PM,May-19-2018 02:30 PM,http://www.redfin.com/MA/Winchester/45-Brooks-St-01890/home/11447053,MLS PIN,72326480,N,Y,42.4406671,-71.1396296
MLS Listing,,Single Family Residential,330 Cambridge St,Winchester,MA,01890,849000,4,2,Winchester,2100,11960,1978,1,404,,Active,May-19-2018 12:00 PM,May-19-2018 01:30 PM,http://www.redfin.com/MA/Winchester/330-Cambridge-St-01890/home/11464077,MLS PIN,72326094,N,Y,42.457138,-71.160464
MLS Listing,,Condo/Co-op,200 Swanton St #226,Winchester,MA,01890,279000,1,1,Winchester,606,,1966,5,460,308,Active,,,http://www.redfin.com/MA/Winchester/200-Swanton-St-01890/unit-226/home/11450170,MLS PIN,72325002,N,Y,42.4605845,-71.1396064
MLS Listing,,Single Family Residential,21 Cox Rd,Winchester,MA,01890,1949000,5,4.5,Winchester,4800,20962,2018,5,406,,Active,,,http://www.redfin.com/MA/Winchester/21-Cox-Rd-01890/home/11465325,MLS PIN,72324910,N,Y,42.4455277,-71.17783
MLS Listing,,Single Family Residential,6 Dana Ave,Winchester,MA,01890,1199000,3,2,Muraco,2087,10105,1955,5,575,,Active,,,http://www.redfin.com/MA/Winchester/6-Dana-Ave-01890/home/11441157,MLS PIN,72324569,N,Y,42.4679409,-71.1198084
MLS Listing,,Single Family Residential,23 Brooks St,Winchester,MA,01890,2190000,5,3.5,Brooks St,4966,24330,1994,6,441,,Active,,,http://www.redfin.com/MA/Winchester/23-Brooks-St-01890/home/11447987,MLS PIN,72324092,N,Y,42.44042688,-71.13838168
MLS Listing,,Condo/Co-op,14 Lebanon St #14,Winchester,MA,01890,449000,3,1,Winchester,1158,,1907,6,388,,Active,,,http://www.redfin.com/MA/Winchester/14-Lebanon-St-01890/unit-14/home/136941338,MLS PIN,72323981,N,Y,42.462544,-71.1265043
MLS Listing,,Townhouse,7 Conant Rd #12,Winchester,MA,01890,599900,3,2.5,Winchester,1542,,1997,6,389,565,Active,,,http://www.redfin.com/MA/Winchester/7-Conant-Rd-01890/unit-12/home/11439189,MLS PIN,72323869,N,Y,42.465586,-71.1345931
MLS Listing,,Single Family Residential,54 Myopia Rd,Winchester,MA,01890,2850000,6,6,Winchester,9250,24680,2000,6,308,,Active,,,http://www.redfin.com/MA/Winchester/54-Myopia-Rd-01890/home/11459727,MLS PIN,72323335,N,Y,42.4405361,-71.1564095
MLS Listing,,Condo/Co-op,23C Elmwood Ave #3,Winchester,MA,01890,1525000,2,2.5,Winchester,2173,,2017,8,702,520,Active,,,http://www.redfin.com/MA/Winchester/23-Elmwood-Ave-01890/unit-3/home/145579779,MLS PIN,72322241,N,Y,42.4534967,-71.1380755
MLS Listing,,Single Family Residential,3 Thornberry Rd,Winchester,MA,01890,1599000,4,3,Winchester,3914,15300,1959,12,409,,Active,May-19-2018 11:30 AM,May-19-2018 12:30 PM,http://www.redfin.com/MA/Winchester/3-Thornberry-Rd-01890/home/11466038,MLS PIN,72320737,N,Y,42.4515166,-71.1791528
MLS Listing,,Single Family Residential,65 Myopia Rd,Winchester,MA,01890,2499000,4,4.5,Winchester,7206,39205,1952,12,347,,Active,,,http://www.redfin.com/MA/Winchester/65-Myopia-Rd-01890/home/11459866,MLS PIN,72320503,N,Y,42.4407874,-71.1577787
MLS Listing,,Vacant Land,20 Winter St,Winchester,MA,01890,690000,,,Winchester,,6685,,13,,,Active,,,http://www.redfin.com/MA/Winchester/20-Winter-St-01890/home/145550567,MLS PIN,72319512,N,Y,42.4593579,-71.1362585
MLS Listing,,Townhouse,7 Wainwright Rd #15,Winchester,MA,01890,1069000,3,3.5,Winchester,2618,,1988,13,408,538,Active,,,http://www.redfin.com/MA/Winchester/7-Wainwright-Rd-01890/unit-15/home/11464897,MLS PIN,72318734,N,Y,42.4568714,-71.1669226
MLS Listing,,Single Family Residential,37 Englewood Rd,Winchester,MA,01890,949000,4,2.5,Winchester,2275,12399,1962,13,417,,Active,,,http://www.redfin.com/MA/Winchester/37-Englewood-Rd-01890/home/11442261,MLS PIN,72318731,N,Y,42.4626844,-71.1244041
MLS Listing,,Single Family Residential,7 Wainwright Rd #1,Winchester,MA,01890,1349000,3,3.5,Winchester,4053,2439360,1988,15,333,,Active,,,http://www.redfin.com/MA/Winchester/7-Wainwright-Rd-01890/unit-1/home/11464851,MLS PIN,72317601,N,Y,42.4568714,-71.1669226
MLS Listing,,Single Family Residential,51 Bacon St,Winchester,MA,01890,1049000,3,3,Winchester,2796,14125,1956,16,375,,Active,,,http://www.redfin.com/MA/Winchester/51-Bacon-St-01890/home/11455601,MLS PIN,72317198,N,Y,42.4461166,-71.1418112
MLS Listing,,Single Family Residential,15 Bonad Rd,Winchester,MA,01890,929000,3,2,Winchester,1837,6512,1930,16,506,,Active,,,http://www.redfin.com/MA/Winchester/15-Bonad-Rd-01890/home/11440661,MLS PIN,72317197,N,Y,42.4631304,-71.125228
MLS Listing,,Single Family Residential,10 Bellevue Ave,Winchester,MA,01890,1349000,5,3,Winchester,3694,11462,2011,16,365,,Active,,,http://www.redfin.com/MA/Winchester/10-Bellevue-Ave-01890/home/11440140,MLS PIN,72317195,N,Y,42.471685,-71.112897
MLS Listing,,Single Family Residential,8 Lagrange St,Winchester,MA,01890,1899000,4,3.5,Winchester,3700,8372,1900,18,513,,Active,,,http://www.redfin.com/MA/Winchester/8-Lagrange-St-01890/home/11455786,MLS PIN,72316698,N,Y,42.4486677,-71.1454782
MLS Listing,,Single Family Residential,13 Rock Ave,Winchester,MA,01890,795000,3,2,Winchester,1546,7274,1932,18,514,,Active,,,http://www.redfin.com/MA/Winchester/13-Rock-Ave-01890/home/11452577,MLS PIN,72316317,N,Y,42.464156,-71.14183
MLS Listing,,Single Family Residential,12 Woodside Rd,Winchester,MA,01890,1299900,4,2.5,Winchester,2645,13049,1906,19,491,,Active,,,http://www.redfin.com/MA/Winchester/12-Woodside-Rd-01890/home/11458621,MLS PIN,72315516,N,Y,42.4553061,-71.1516053
MLS Listing,,Condo/Co-op,83 Church St #14,Winchester,MA,01890,850000,2,2.5,Winchester,1367,,1930,21,622,589,Active,,,http://www.redfin.com/MA/Winchester/83-Church-St-01890/unit-14/home/11456442,MLS PIN,72314388,N,Y,42.4500397,-71.1462441
MLS Listing,,Single Family Residential,6 Robinson Park,Winchester,MA,01890,3300000,5,5,Winchester,5062,18570,1949,21,652,,Active,,,http://www.redfin.com/MA/Winchester/6-Robinson-Park-01890/home/11467613,MLS PIN,72314311,N,Y,42.4390325,-71.1514893
MLS Listing,,Single Family Residential,16 Westley,Winchester,MA,01890,874900,4,3.5,Winchester,2750,5500,2018,21,318,,Active,,,http://www.redfin.com/MA/Winchester/16-Westley-St-01890/home/11449174,MLS PIN,72313909,N,Y,42.4567255,-71.1320633
MLS Listing,,Townhouse,16 Westley #16,Winchester,MA,01890,874900,4,3.5,Winchester,2750,5500,2018,21,318,105,Active,,,http://www.redfin.com/MA/Winchester/16-Westley-St-01890/unit-16/home/145470027,MLS PIN,72313824,N,Y,42.4567255,-71.1320633
MLS Listing,,Single Family Residential,211 Highland Ave,Winchester,MA,01890,1298000,5,3,Winchester,4543,6731,1870,22,286,,Active,,,http://www.redfin.com/MA/Winchester/211-Highland-Ave-01890/home/11441562,MLS PIN,72313430,N,Y,42.4555825,-71.1283962
MLS Listing,,Condo/Co-op,200 Swanton St #331,Winchester,MA,01890,249900,1,1,Winchester,605,,1966,25,413,314,Active,,,http://www.redfin.com/MA/Winchester/200-Swanton-St-01890/unit-331/home/11450330,MLS PIN,72312712,N,Y,42.4605845,-71.1396064
MLS Listing,,Single Family Residential,15 James St,Winchester,MA,01890,1300000,4,3.5,Winchester,2447,10920,1945,26,531,,Active,,,http://www.redfin.com/MA/Winchester/15-James-St-01890/home/11463172,MLS PIN,72311472,N,Y,42.4372614,-71.1787119
MLS Listing,,Townhouse,64 Highland Ave #7,Winchester,MA,01890,599000,2,2,Winchester Highlands,1305,,1982,26,459,556,Active,,,http://www.redfin.com/MA/Winchester/64-Highland-Ave-01890/unit-7/home/11441436,MLS PIN,72311393,N,Y,42.464305,-71.1214099
MLS Listing,,Single Family Residential,4 Worthen Rd,Winchester,MA,01890,1320000,5,3.5,Winchester,3169,20159,1932,27,417,,Active,,,http://www.redfin.com/MA/Winchester/4-Worthen-Rd-01890/home/11460791,MLS PIN,72311287,N,Y,42.4487771,-71.1611671
MLS Listing,,Single Family Residential,14 Johnson Rd,Winchester,MA,01890,895000,3,2.5,Winchester,2610,16220,1958,33,343,,Active,,,http://www.redfin.com/MA/Winchester/14-Johnson-Rd-01890/home/11463919,MLS PIN,72307710,N,Y,42.4507622,-71.1639056
MLS Listing,,Single Family Residential,700 Washington St,Winchester,MA,01890,1197000,4,2.5,Winchester,3107,23621,2000,39,385,,Active,,,http://www.redfin.com/MA/Winchester/700-Washington-St-01890/home/11467250,MLS PIN,72304452,N,Y,42.472251,-71.1244505
MLS Listing,,Single Family Residential,6 Johnson Rd,Winchester,MA,01890,2249000,5,4.5,Winchester,5200,37929,2018,40,433,,Active,,,http://www.redfin.com/MA/Winchester/6-Johnson-Rd-01890/home/85675304,MLS PIN,72303838,N,Y,42.450464,-71.1621893
MLS Listing,,Single Family Residential,17 Wellington Rd,Winchester,MA,01890,1975000,5,5,Winchester,5690,10380,2018,43,347,,Active,,,http://www.redfin.com/MA/Winchester/17-Wellington-Rd-01890/home/11447408,MLS PIN,72301321,N,Y,42.437973,-71.14079
MLS Listing,,Single Family Residential,23 Swan Rd,Winchester,MA,01890,1849000,4,3.5,Myopia Hill,4010,21512,1983,43,461,,Active,,,http://www.redfin.com/MA/Winchester/23-Swan-Rd-01890/home/11459973,MLS PIN,72301171,N,Y,42.4437674,-71.155191
MLS Listing,,Single Family Residential,170 Forest St,Winchester,MA,01890,1629000,6,4,Winchester,4488,21309,2018,55,363,,Active,,,http://www.redfin.com/MA/Winchester/170-Forest-St-01890/home/11439867,MLS PIN,72296623,N,Y,42.4696418,-71.1198432
MLS Listing,,Condo/Co-op,3 Myrtle St #2,Winchester,MA,01890,665000,4,2,Winchester,2177,,1910,55,305,150,Active,,,http://www.redfin.com/MA/Winchester/3-Myrtle-St-01890/unit-2/home/11468705,MLS PIN,72295941,N,Y,42.4523228,-71.1327596
MLS Listing,,Single Family Residential,98 Cambridge St,Winchester,MA,01890,949999,3,2.5,Winchester,2228,23100,1962,71,426,,Active,,,http://www.redfin.com/MA/Winchester/98-Cambridge-St-01890/home/11460190,MLS PIN,72289003,N,Y,42.4452893,-71.1528586
MLS Listing,,Single Family Residential,14 Pond St,Winchester,MA,01890,799900,4,2.5,Winchester,2020,12087,1992,75,396,,Active,,,http://www.redfin.com/MA/Winchester/14-Pond-St-01890/home/11459456,MLS PIN,72287665,N,Y,42.4561955,-71.1587999
MLS Listing,,Single Family Residential,1 Woodside Rd,Winchester,MA,01890,1399000,6,3.5,Flats,3690,12066,1895,110,379,,Active,,,http://www.redfin.com/MA/Winchester/1-Woodside-Rd-01890/home/11459452,MLS PIN,72274126,N,Y,42.454765,-71.1501664
MLS Listing,,Single Family Residential,16 Marshall Rd,Winchester,MA,01890,1275000,4,3,Winchester,2866,17192,1951,113,445,,Active,,,http://www.redfin.com/MA/Winchester/16-Marshall-Rd-01890/home/11446424,MLS PIN,72272864,N,Y,42.4421033,-71.1330381
MLS Listing,,Single Family Residential,7 Edgehill Rd,Winchester,MA,01890,1500000,6,3,Winchester,4298,8000,1911,124,349,,Active,,,http://www.redfin.com/MA/Winchester/7-Edgehill-Rd-01890/home/11446808,MLS PIN,72270057,N,Y,42.4410739,-71.1352662
MLS Listing,,Condo/Co-op,15 Dix St Unit 6,Winchester,MA,01890,1870000,2,2.5,Winchester,1985,,2017,181,942,800,Active,,,http://www.redfin.com/MA/Winchester/15-Dix-St-01890/unit-6/home/113378991,MLS PIN,72255678,N,Y,42.4524522,-71.1401634
MLS Listing,,Single Family Residential,26 Jefferson Rd,Winchester,MA,01890,1550000,5,3.5,Winchester,3640,20701,1938,183,426,,Active,,,http://www.redfin.com/MA/Winchester/26-Jefferson-Rd-01890/home/11444246,MLS PIN,72255175,N,Y,42.443404,-71.127949
MLS Listing,,Single Family Residential,9 Grove St,Winchester,MA,01890,4499000,8,7,Winchester,10000,33329,2017,185,450,,Active,,,http://www.redfin.com/MA/Winchester/9-Grove-St-01890/home/11447094,MLS PIN,72254524,N,Y,42.442882,-71.137798
MLS Listing,,Single Family Residential,47 WAINWRIGHT Rd,Winchester,MA,01890,2499900,5,6,Winchester,6186,20780,2007,250,404,,Active,,,http://www.redfin.com/MA/Winchester/47-Wainwright-Rd-01890/home/18955694,MLS PIN,72224619,N,Y,42.4544328,-71.1640217
MLS Listing,,Single Family Residential,10 Ledgewood Rd,Winchester,MA,01890,2945000,6,5.5,Ledgewood Estates,7542,40292,2004,305,390,,Active,,,http://www.redfin.com/MA/Winchester/10-Ledgewood-Rd-01890/home/11444690,MLS PIN,72198378,N,Y,42.4461536,-71.1262376
MLS Listing,,Single Family Residential,14 Berkshire Dr,Winchester,MA,01890,1599000,4,3.5,Winchester,3119,24200,1973,348,513,,Active,,,http://www.redfin.com/MA/Winchester/14-Berkshire-Dr-01890/home/11465508,MLS PIN,72174231,N,Y,42.4465708,-71.1835389
